time,total_events,window_size,slide
274 ,803609      ,5          ,0.5
275 ,805702      ,5          ,0.5
276 ,807743      ,5          ,0.5
277 ,809670      ,5          ,0.5
278 ,811481      ,5          ,0.5
279 ,813240      ,5          ,0.5
280 ,814938      ,5          ,0.5
281 ,816611      ,5          ,0.5
282 ,818248      ,5          ,0.5
283 ,819869      ,5          ,0.5
284 ,821648      ,5          ,0.5
285 ,823593      ,5          ,0.5
286 ,825665      ,5          ,0.5
287 ,827662      ,5          ,0.5
288 ,829422      ,5          ,0.5
289 ,831106      ,5          ,0.5
290 ,832812      ,5          ,0.5
291 ,834412      ,5          ,0.5
292 ,836028      ,5          ,0.5
293 ,837665      ,5          ,0.5
294 ,839253      ,5          ,0.5
295 ,841044      ,5          ,0.5
296 ,842988      ,5          ,0.5
297 ,844935      ,5          ,0.5
298 ,846795      ,5          ,0.5
299 ,848423      ,5          ,0.5
300 ,849709      ,5          ,0.5
301 ,851735      ,5          ,0.5
302 ,853327      ,5          ,0.5
303 ,854972      ,5          ,0.5
304 ,856457      ,5          ,0.5
305 ,858135      ,5          ,0.5
306 ,859913      ,5          ,0.5
307 ,861834      ,5          ,0.5
308 ,863716      ,5          ,0.5
309 ,865351      ,5          ,0.5
310 ,866854      ,5          ,0.5
311 ,868540      ,5          ,0.5
312 ,870079      ,5          ,0.5
313 ,871653      ,5          ,0.5
314 ,873173      ,5          ,0.5
315 ,874662      ,5          ,0.5
316 ,876341      ,5          ,0.5
317 ,878133      ,5          ,0.5
318 ,879958      ,5          ,0.5
319 ,881681      ,5          ,0.5
320 ,883203      ,5          ,0.5
321 ,884752      ,5          ,0.5
322 ,886354      ,5          ,0.5
323 ,887866      ,5          ,0.5
324 ,889327      ,5          ,0.5
325 ,890767      ,5          ,0.5
326 ,892305      ,5          ,0.5
327 ,893977      ,5          ,0.5
328 ,895703      ,5          ,0.5
329 ,897114      ,5          ,0.5
330 ,899064      ,5          ,0.5
331 ,900514      ,5          ,0.5
332 ,902014      ,5          ,0.5
333 ,903477      ,5          ,0.5
334 ,904930      ,5          ,0.5
335 ,906347      ,5          ,0.5
336 ,907855      ,5          ,0.5
337 ,909404      ,5          ,0.5
338 ,911045      ,5          ,0.5
339 ,912670      ,5          ,0.5
340 ,914205      ,5          ,0.5
341 ,915710      ,5          ,0.5
342 ,917119      ,5          ,0.5
343 ,918644      ,5          ,0.5
344 ,920113      ,5          ,0.5
345 ,921562      ,5          ,0.5
346 ,922950      ,5          ,0.5
347 ,924410      ,5          ,0.5
348 ,925945      ,5          ,0.5
349 ,927590      ,5          ,0.5
350 ,929043      ,5          ,0.5
351 ,930574      ,5          ,0.5
352 ,931998      ,5          ,0.5
353 ,933440      ,5          ,0.5
354 ,934907      ,5          ,0.5
355 ,936348      ,5          ,0.5
356 ,937693      ,5          ,0.5
357 ,939112      ,5          ,0.5
358 ,940537      ,5          ,0.5
359 ,942118      ,5          ,0.5
360 ,943649      ,5          ,0.5
361 ,945035      ,5          ,0.5
362 ,946444      ,5          ,0.5
363 ,947823      ,5          ,0.5
364 ,949260      ,5          ,0.5
365 ,950674      ,5          ,0.5
366 ,952019      ,5          ,0.5
367 ,953345      ,5          ,0.5
368 ,954781      ,5          ,0.5
369 ,956231      ,5          ,0.5
370 ,957729      ,5          ,0.5
371 ,959153      ,5          ,0.5
372 ,960537      ,5          ,0.5
373 ,961869      ,5          ,0.5
374 ,963280      ,5          ,0.5
375 ,964663      ,5          ,0.5
376 ,965970      ,5          ,0.5
377 ,967284      ,5          ,0.5
378 ,968612      ,5          ,0.5
379 ,970028      ,5          ,0.5
380 ,971444      ,5          ,0.5
381 ,972867      ,5          ,0.5
382 ,974220      ,5          ,0.5
383 ,975544      ,5          ,0.5
384 ,976868      ,5          ,0.5
385 ,978207      ,5          ,0.5
386 ,979522      ,5          ,0.5
387 ,980768      ,5          ,0.5
388 ,982093      ,5          ,0.5
389 ,983421      ,5          ,0.5
390 ,984799      ,5          ,0.5
391 ,986218      ,5          ,0.5
392 ,987574      ,5          ,0.5
393 ,988907      ,5          ,0.5
394 ,990136      ,5          ,0.5
395 ,991484      ,5          ,0.5
396 ,992736      ,5          ,0.5
397 ,994020      ,5          ,0.5
398 ,997076      ,5          ,0.5
399 ,998323      ,5          ,0.5
400 ,999744      ,5          ,0.5
401 ,1001069     ,5          ,0.5
402 ,1002377     ,5          ,0.5
403 ,1003704     ,5          ,0.5
404 ,1004932     ,5          ,0.5
405 ,1006208     ,5          ,0.5
406 ,1007492     ,5          ,0.5
407 ,1008728     ,5          ,0.5
408 ,1010391     ,5          ,0.5
409 ,1012925     ,5          ,0.5
410 ,1014213     ,5          ,0.5
411 ,1015571     ,5          ,0.5
412 ,1016870     ,5          ,0.5
413 ,1018147     ,5          ,0.5
414 ,1019369     ,5          ,0.5
415 ,1020614     ,5          ,0.5
416 ,1021870     ,5          ,0.5
417 ,1023123     ,5          ,0.5
418 ,1024345     ,5          ,0.5
419 ,1026709     ,5          ,0.5
420 ,1028345     ,5          ,0.5
421 ,1029669     ,5          ,0.5
422 ,1030954     ,5          ,0.5
423 ,1032217     ,5          ,0.5
424 ,1033465     ,5          ,0.5
425 ,1034665     ,5          ,0.5
426 ,1035875     ,5          ,0.5
427 ,1037099     ,5          ,0.5
428 ,1038284     ,5          ,0.5
429 ,1039967     ,5          ,0.5
430 ,1042049     ,5          ,0.5
431 ,1043374     ,5          ,0.5
432 ,1044700     ,5          ,0.5
433 ,1045918     ,5          ,0.5
434 ,1047186     ,5          ,0.5
435 ,1048372     ,5          ,0.5
436 ,1049586     ,5          ,0.5
437 ,1050695     ,5          ,0.5
438 ,1051901     ,5          ,0.5
439 ,1053257     ,5          ,0.5
440 ,1055193     ,5          ,0.5
1   ,8647        ,2          ,1
2   ,17095       ,2          ,1
3   ,26776       ,2          ,1
4   ,34592       ,2          ,1
5   ,43334       ,2          ,1
6   ,51300       ,2          ,1
7   ,59333       ,2          ,1
8   ,67479       ,2          ,1
9   ,74369       ,2          ,1
10  ,83021       ,2          ,1
11  ,89821       ,2          ,1
12  ,97822       ,2          ,1
13  ,104775      ,2          ,1
14  ,112571      ,2          ,1
15  ,119767      ,2          ,1
16  ,126570      ,2          ,1
17  ,133685      ,2          ,1
18  ,139886      ,2          ,1
19  ,146911      ,2          ,1
20  ,152921      ,2          ,1
21  ,159673      ,2          ,1
22  ,165776      ,2          ,1
23  ,172097      ,2          ,1
24  ,178187      ,2          ,1
25  ,183953      ,2          ,1
26  ,190226      ,2          ,1
27  ,195654      ,2          ,1
28  ,201886      ,2          ,1
29  ,207189      ,2          ,1
30  ,213040      ,2          ,1
31  ,218226      ,2          ,1
32  ,223697      ,2          ,1
33  ,228969      ,2          ,1
34  ,233915      ,2          ,1
35  ,239175      ,2          ,1
36  ,243909      ,2          ,1
37  ,249091      ,2          ,1
38  ,253768      ,2          ,1
39  ,258819      ,2          ,1
40  ,263449      ,2          ,1
41  ,268247      ,2          ,1
42  ,272806      ,2          ,1
43  ,277337      ,2          ,1
44  ,281888      ,2          ,1
45  ,286151      ,2          ,1
46  ,290668      ,2          ,1
47  ,294764      ,2          ,1
48  ,299103      ,2          ,1
49  ,303157      ,2          ,1
50  ,307266      ,2          ,1
51  ,311278      ,2          ,1
52  ,315148      ,2          ,1
53  ,318861      ,2          ,1
54  ,322801      ,2          ,1
55  ,326650      ,2          ,1
56  ,330177      ,2          ,1
57  ,333947      ,2          ,1
1   ,8495        ,5          ,1
2   ,16866       ,5          ,1
3   ,26447       ,5          ,1
4   ,33946       ,5          ,1
5   ,43227       ,5          ,1
6   ,52672       ,5          ,1
7   ,61219       ,5          ,1
8   ,67977       ,5          ,1
9   ,77286       ,5          ,1
10  ,85235       ,5          ,1
11  ,92892       ,5          ,1
12  ,102160      ,5          ,1
13  ,108916      ,5          ,1
14  ,117755      ,5          ,1
15  ,125371      ,5          ,1
16  ,131172      ,5          ,1
17  ,140752      ,5          ,1
18  ,147914      ,5          ,1
19  ,154495      ,5          ,1
20  ,163227      ,5          ,1
21  ,169195      ,5          ,1
22  ,177267      ,5          ,1
23  ,186934      ,5          ,1
24  ,192968      ,5          ,1
25  ,201422      ,5          ,1
26  ,207341      ,5          ,1
27  ,214812      ,5          ,1
28  ,222820      ,5          ,1
29  ,229615      ,5          ,1
30  ,237157      ,5          ,1
31  ,244226      ,5          ,1
32  ,251010      ,5          ,1
33  ,257081      ,5          ,1
34  ,265744      ,5          ,1
35  ,272467      ,5          ,1
36  ,279199      ,5          ,1
37  ,284692      ,5          ,1
